,movie_id,averagerating,numvotes
546,tt7752880,6.1,38
547,tt7762194,1.0,67
548,tt7766166,5.7,7
549,tt7770192,5.7,725
550,tt7770232,7.7,45
551,tt7783776,6.2,29
552,tt7791218,6.4,464
553,tt7794400,8.3,36
554,tt7802246,8.2,38
555,tt7809214,4.3,26
556,tt7817234,3.1,17
557,tt7820502,5.8,38
558,tt7822320,7.2,388
559,tt7827728,6.0,9
560,tt7848100,7.6,26
561,tt7852572,9.0,5
562,tt7858220,7.2,12
563,tt7868256,8.8,13
564,tt7882250,6.2,83
565,tt7891828,6.4,7
566,tt7894140,8.4,5
567,tt7895368,9.0,7
568,tt7921282,7.1,80
569,tt7928214,6.3,56
570,tt7929502,7.2,5
571,tt7948406,9.1,12
572,tt7955106,8.0,283
573,tt7958740,7.5,87
574,tt7963218,1.7,597
575,tt7971756,7.2,27
576,tt7972100,5.6,7
577,tt7976486,7.0,85
578,tt7976502,4.4,112
579,tt7977310,6.6,42
580,tt7984730,8.8,203
581,tt7989520,8.4,5
582,tt8001954,6.8,10
583,tt8019076,6.1,8
584,tt8026954,7.5,19
585,tt8041618,8.1,46
586,tt8045100,8.5,6
587,tt8058904,5.9,126
588,tt8064342,5.5,106
589,tt8071724,7.0,5
590,tt8076344,7.3,579
591,tt8096198,8.7,15
592,tt8103460,3.1,16
593,tt8106590,9.0,9
594,tt8108194,7.3,6
595,tt8108198,8.5,43409
596,tt8108208,6.2,1420
597,tt8108212,7.1,46
598,tt8110450,4.2,5
599,tt8110590,7.9,7
600,tt8128672,5.5,89
601,tt8129312,4.2,6
602,tt8129666,8.6,8
603,tt8142462,6.6,17
604,tt8144954,7.3,38
605,tt8171974,6.2,180
606,tt8196200,7.9,66
607,tt8209632,5.5,24
608,tt8220332,3.8,295
609,tt8236398,6.3,144
610,tt8260954,5.9,17
611,tt8269378,6.7,176
612,tt8286436,7.3,7
613,tt8294696,9.2,22
614,tt8320168,8.0,6
615,tt8322828,6.0,193
616,tt8346446,6.9,183
617,tt8356200,6.9,14
618,tt8359842,7.7,70
619,tt8383694,6.1,24
620,tt8387376,5.1,10
621,tt8396232,6.6,12
622,tt8396486,7.5,11
623,tt8401098,7.8,13
624,tt8420672,2.4,70
625,tt8423080,8.1,81
626,tt8426644,7.9,10
627,tt8430866,8.1,68
628,tt8475490,8.5,19
629,tt8503170,6.6,23
630,tt8503240,7.6,11
631,tt8508676,7.3,7
632,tt8510324,5.6,975
633,tt8526530,2.3,29
634,tt8539876,9.5,6
635,tt8550652,6.7,45
636,tt8556014,7.9,25
637,tt8558596,4.8,88
638,tt8569390,6.3,168
639,tt8579840,5.5,27
640,tt8580948,8.8,33
641,tt8587122,6.0,278
642,tt8593814,9.3,50
643,tt8602902,7.8,5
644,tt8609374,5.1,30
645,tt8617648,3.8,163
646,tt8653640,8.3,13
647,tt8660466,5.9,8
648,tt8679160,6.7,30
649,tt8682630,8.9,23
650,tt8682932,5.8,5
651,tt8684786,5.5,22
652,tt8698560,6.5,44
653,tt8705364,8.5,6
654,tt8714366,7.3,15
655,tt8718066,7.2,20
656,tt8722030,1.7,28
657,tt8756098,7.2,26
658,tt8763008,5.7,254
659,tt8769370,5.6,5
660,tt8793222,9.0,6
661,tt8814978,6.3,22
662,tt8820198,8.4,16
663,tt8828434,7.7,72
664,tt8835552,7.0,143
665,tt8837044,5.1,152
666,tt8842320,6.5,19
667,tt8852242,7.3,45
668,tt8857350,6.8,12
669,tt8883524,6.9,48
670,tt8886288,6.8,9
671,tt8903540,8.2,5
672,tt8933330,3.7,12
673,tt8976472,6.6,27
674,tt8977440,2.3,25
675,tt8996488,7.8,5
676,tt8997034,5.2,38
677,tt9001652,9.2,8
678,tt9015764,6.7,32
679,tt9024664,7.1,41
680,tt9025292,8.4,5
681,tt9053030,7.2,17
682,tt9061192,7.5,8
683,tt9080630,2.1,112
684,tt9088588,7.3,40
685,tt9094980,7.0,45
686,tt9114436,6.7,37
687,tt9115662,6.4,12
688,tt9118870,6.7,504
689,tt9130246,8.6,558
690,tt9139040,7.9,46
691,tt9141128,7.1,295
692,tt9154776,3.0,30
693,tt9159000,6.5,12
694,tt9190740,8.3,39
695,tt9204352,6.4,201
696,tt9233172,8.1,8
697,tt9249222,9.0,5
698,tt9310460,5.9,43
699,tt9353436,7.6,36
700,tt9356320,7.3,6
701,tt9358044,6.8,628
702,tt9358256,7.3,79
703,tt9359942,7.2,5
704,tt9363366,8.7,7
705,tt9447768,7.1,7
706,tt9450542,4.0,99
707,tt9529752,1.7,20
708,tt9562694,2.6,1509
709,tt9567548,7.8,327
710,tt9593792,6.1,39
711,tt9644084,5.2,5
712,tt9648942,6.7,403
713,tt9657946,6.0,16
714,tt9659470,4.5,456
715,tt9703880,7.5,23
716,tt9723084,6.7,35
717,tt9726638,6.0,6
718,tt9762928,5.9,15
719,tt9800694,5.4,7
720,tt9827784,7.7,6
721,tt9833362,8.4,7
722,tt9838372,5.7,46
723,tt9845012,8.0,10
724,tt9865446,8.5,32
725,tt0066787,7.2,43
726,tt0844699,9.0,5
727,tt0844915,7.5,56
728,tt0847735,4.5,15
729,tt0879870,5.8,77709
730,tt0892318,6.6,86137
731,tt0959329,5.5,11358
732,tt0960067,6.9,83
733,tt0988655,4.7,185
734,tt10011448,9.4,7
735,tt10016532,6.1,152
736,tt10066162,6.5,88
737,tt10078894,2.3,30
738,tt10122038,7.6,78
739,tt1015471,6.2,1888
740,tt10179072,6.1,10
741,tt10204316,7.6,5
742,tt1020982,6.6,147
743,tt10262346,6.3,7
744,tt10308686,9.3,15
745,tt10312668,8.9,2111
746,tt10338308,7.0,74
747,tt1053835,6.2,348
748,tt1071783,4.7,64
749,tt1071872,7.1,33
750,tt1079964,5.0,576
751,tt1091212,6.5,338
752,tt1092634,6.4,8662
753,tt1111900,7.8,12
754,tt1127897,5.4,352
755,tt1137473,7.7,6
756,tt1183352,6.7,415
757,tt1193626,6.8,166
758,tt1201607,8.1,691835
759,tt1225703,6.0,453
760,tt1228705,7.0,657690
761,tt1230120,5.5,12
762,tt1232775,6.4,483
763,tt1232828,5.9,50
764,tt1235430,6.3,31
765,tt1247673,5.1,182
766,tt1274639,5.5,137
767,tt1277373,6.2,156
768,tt1279105,4.1,127
769,tt1282100,6.7,9
770,tt1285240,5.6,1321
771,tt1294212,5.6,263
772,tt1296881,5.2,576
773,tt1298655,8.5,6
774,tt1303680,3.8,200
775,tt1316033,4.9,16
776,tt1329320,7.8,31
777,tt1332110,4.4,229
778,tt1338705,2.6,41
779,tt1345444,6.7,173
780,tt1345505,6.1,127
781,tt1345834,7.1,547
782,tt1352380,6.7,740
783,tt1362518,7.2,437
784,tt1363368,6.9,27
785,tt1365483,4.7,2397
786,tt1373403,2.4,148
787,tt1378811,2.4,246
788,tt1380190,5.2,240
789,tt1380995,5.1,208
790,tt1382720,5.5,250
791,tt1383705,5.1,660
792,tt1388369,5.3,74
793,tt1398028,5.1,644
794,tt1400502,8.6,85
795,tt1408029,5.1,16
796,tt1410198,4.6,313
797,tt1414353,6.4,69
798,tt1417054,6.7,112
799,tt1419453,8.3,23
800,tt1423953,7.3,839
801,tt1429445,6.2,95
802,tt1437354,5.5,438
803,tt1438214,5.0,102
804,tt1440161,6.3,26441
805,tt1450651,5.5,74
806,tt1453262,6.3,111
807,tt1458408,8.2,17
808,tt1458730,7.3,28
809,tt1460646,3.2,239
810,tt1483386,7.2,676
811,tt1486652,5.0,5
812,tt1489889,6.3,138872
813,tt1490753,6.8,72
814,tt1490785,5.8,5658
815,tt1491603,3.6,1388
816,tt1493816,2.9,30
817,tt1496374,7.7,10
818,tt1500694,4.6,121
819,tt1502422,6.5,332
820,tt1506998,5.7,379
821,tt1510926,5.9,345
822,tt1511354,5.6,39
823,tt1511362,8.0,9
824,tt1515941,8.1,36
825,tt1517260,5.9,105633
826,tt1517506,5.2,497
827,tt1519640,6.1,785
828,tt1520956,4.5,1420
829,tt1521223,6.9,457
830,tt1526284,5.6,3793
831,tt1526616,8.6,7
832,tt1527721,8.0,15
833,tt1529292,6.4,554
834,tt1531683,8.5,15
835,tt1533749,6.9,17777
836,tt1534834,8.2,10
837,tt1537485,7.7,10
838,tt1539146,6.3,21
839,tt1540995,7.2,17
840,tt1543004,6.2,405
841,tt1544589,8.0,8
842,tt1546401,5.1,26
843,tt1546985,7.2,5
844,tt1550643,5.6,10
845,tt1550902,7.0,600
846,tt1555440,6.4,1097
847,tt1563127,7.2,27
848,tt1563712,6.5,41
849,tt1565064,7.7,771
850,tt1566501,6.6,4202
851,tt1567127,5.5,182
852,tt1567611,7.1,27
853,tt1570103,7.4,18
854,tt1572169,5.3,43
855,tt1572501,5.8,502
856,tt1572769,6.9,2070
857,tt1578709,4.3,323
858,tt1579391,6.5,19
859,tt1582482,5.9,11
860,tt1582483,5.3,25
861,tt1582567,7.3,6
862,tt1583279,7.2,22
863,tt1585660,6.7,23
864,tt1586001,7.2,5969
865,tt1586516,7.5,67
866,tt1587220,6.4,18
867,tt1590193,6.3,83114
868,tt1590231,7.8,9
869,tt1590970,6.4,159
870,tt1591123,5.5,217
871,tt1592583,4.2,38
872,tt1592893,4.8,8
873,tt1594537,4.9,11
874,tt1595366,7.6,4895
875,tt1595633,7.4,13
876,tt1596753,6.7,2314
877,tt1596771,5.8,144
878,tt1597725,6.1,357
879,tt1599296,6.2,2188
880,tt1601913,6.8,228798
881,tt1603362,8.4,2058
882,tt1603489,6.4,118
883,tt1603933,4.2,689
884,tt1605777,5.4,5581
885,tt1607562,7.8,24
886,tt1608285,6.3,478
887,tt1608777,7.1,4795
888,tt1609159,6.9,2015
889,tt1609168,8.0,4287
890,tt1611224,5.9,142853
891,tt1611907,4.5,204
892,tt1612305,6.7,89
893,tt1612317,8.3,398
894,tt1612610,8.5,32
895,tt1613032,5.6,25
896,tt1613046,3.1,102
897,tt1615028,8.1,7
898,tt1616543,7.2,1104
899,tt1618442,6.0,86118
900,tt1619826,8.5,11
901,tt1621896,8.1,10
902,tt1622991,2.8,1028
903,tt1623280,6.7,206
904,tt1624385,3.4,355
905,tt1628016,7.3,6
906,tt1633224,6.2,443
907,tt1633281,8.4,17
908,tt1637718,6.2,10
909,tt1638364,7.3,6850
910,tt1640617,5.0,39
911,tt1644655,6.0,360
912,tt1645157,5.1,9
913,tt1646127,6.4,971
914,tt1646961,7.7,73
915,tt1646962,6.2,280
916,tt1646981,5.9,363
917,tt1647360,5.1,9
918,tt1648112,6.4,13864
919,tt1648168,4.7,87
920,tt1651072,5.3,7
921,tt1652337,7.3,7
922,tt1652408,6.9,30
923,tt1653855,7.1,59
924,tt1654523,6.8,16694
925,tt1655431,6.5,23
926,tt1657303,5.3,6
927,tt1657400,6.1,14
928,tt1657422,5.9,19
929,tt1659187,7.1,21
930,tt1659216,3.4,3804
931,tt1660379,6.7,5559
932,tt1661219,7.2,13
933,tt1662293,4.4,4604
934,tt1662546,6.4,50
935,tt1663145,7.1,217
936,tt1663168,6.0,21
937,tt1663655,4.0,4567
938,tt1663691,6.3,11
939,tt1664814,7.4,1104
940,tt1665722,7.4,43
941,tt1666329,5.5,21
942,tt1666538,4.8,31
943,tt1666700,5.4,674
944,tt1666710,5.5,28
945,tt1667141,6.5,61
946,tt1667145,4.5,192
947,tt1667156,6.2,296
948,tt1669706,5.0,9
949,tt1671465,6.2,454
950,tt1671547,7.2,910
951,tt1672133,4.0,95
952,tt1672214,7.4,1199
953,tt1673645,5.8,79
954,tt1674217,6.7,13
955,tt1674692,5.1,264
956,tt1674741,8.4,563
957,tt1675167,7.3,19
958,tt1677514,4.2,30
959,tt1677677,6.1,12
960,tt1679595,6.5,329
961,tt1680089,5.5,1328
962,tt1682949,6.7,524
963,tt1686030,6.2,18
964,tt1691329,6.2,26
965,tt1691924,2.9,155
966,tt1692253,8.0,32
967,tt1692254,6.4,8
968,tt1693039,6.3,224
969,tt1693679,3.4,1714
970,tt1694115,6.7,48
971,tt1694537,6.6,30
972,tt1696494,6.8,20
973,tt1698537,6.1,14
974,tt1698656,3.9,135
975,tt1699222,7.6,68
976,tt1702622,7.0,31
977,tt1704201,2.2,622
978,tt1705787,5.6,31
979,tt1706317,3.9,1951
980,tt1706670,6.3,38
981,tt1708537,8.1,608
982,tt1709143,5.5,33137
983,tt1711428,4.8,93
